LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Zoia, Via fratelli – cv 130 – Istituto di Istruzione Superiore  Marie Curie e Piero Sraffa;Scuola Secondaria di Secondo Grado;IIS Marie Curie e Piero Sraffa;7;5;6;30;2013
"Alcuino, Via – cv 4 – Istituto di Istruzione Superiore ""Severi - Correnti""";Scuola Secondaria di Secondo Grado;IIS Severi - Correnti;8;5;1;5;2013
Ande, Via delle – cv 4;Scuola Primaria;Ande – IC Massa;8;5;3;15;13/04/2015
Bacchelli, Via;Stazione metropolitana;M1 Bonola;8;5;5;25;21/05/2012
Borsa Mario, Via;Vari;;8;6;1;6;2013
Brocchi, Via – cv 5;Scuola Primaria;Scuola Brocchi;8;5;3;15;13/04/2015
"Brocchi, Via – cv 5 – Scuola Primaria ""Brocchi""";Scuola Primaria;ICS Riccardo Massa;8;5;1;5;2013
Cambi Livio, Via –  Presso stazione Lampugnano;Stazione metropolitana;M1 Lampugnano;8;5;2;10;2013
Castellino da Castello – cv 10;Scuola Primaria;Scuola Rinnovata Pizzigoni;8;5;3;15;01/04/2015
"Castellino da Castello, Via – cv 10 – Presso scuola Primaria ""Rinnovata Pizzigoni""";Scuola Primaria;;8;5;4;20;30/07/2015
Cenisio, Via – cv 2/4;Uffici e servizi pubblici;Comune di Milano;8;5;2;10;21/04/2016
Cilea, Via – cv 12;Scuola Primaria;IC Borsi – Scuola Primaria Cilea;8;6;3;18;14/06/2014
De Gasperi Alcide, Viale –           *****          PL Schiarea;Vari;;8;5;4;20;30/07/2015
Falck, Via – Presso ingressi stazione;Stazione metropolitana;M1 San Leonardo;8;5;1;5;01/02/2011
Falck, Via – Presso ingressi stazione;Stazione metropolitana;M1 San Leonardo;8;6;1;6;01/02/2011
Fattori, Via – Presso accesso principale stazione;Stazione ferroviaria;FS Certosa;8;5;2;10;24/10/2012
Ferrario Grugnola, Via – cv 3 – Presso biblioteca Villapizzone;Uffici e servizi pubblici - Biblioteca;Biblioteca Vilapizzone;8;5;1;5;26/05/2015
Gattamelata, Via – cv 20-22;Scuola dell'Infanzia;ICS Gattamelata - Gattamelata;8;5;4;20;06/06/2012
Gattamelata, Via – cv 35;Scuola Primaria;ICS Gattamelata - Micca;8;5;3;15;31/03/2015
Gattamelata, Via – cv 35-37 – Turr, cv 1;Scuola Primaria;ICS Gattamelata - Micca;8;5;6;30;19/09/2012
Gerusalemme, Piazza - cv 5;Stazione metropolitana;M5 Gerusalemme;8;6;3;18;2015
Gerusalemme, Piazza - Lato area verde;Stazione metropolitana;M5 Gerusalemme;8;6;1;6;2015
Inverigo, Via;Vari;;8;5;1;5;2013
Mambretti, Via – Presso accesso nord-ovest della stazione;Stazione ferroviaria;FS Certosa;8;5;1;5;23/10/2012
Mantegna, Via – cv 10 – Scuola dell'Infanzia;Scuola dell'Infanzia;DD Ferrante Aporti;8;5;1;5;2013
Mantegna, Via – cv 8;Scuola Primaria;;8;5;2;10;31/07/2015
Massena, Via – cv 12/3 – Scuola dell'Infanzia;Scuola dell'Infanzia;;8;5;1;5;2013
Molino Dorino – Parcheggio ATM;Parcheggio ATM presso Metro;;8;5;3;15;09/07/2012
Monviso, Via – cv 2 – Presso scuola Moscati Mameli;Scuola Secondaria di Primo Grado;Moscati Mameli;8;5;2;10;30/07/2015
Ojetti, Via – cv 13;Scuola Primaria;ISTITUTO BORSI;8;5;3;15;10/04/2015
"Orsini, Via – cv 25 – Presso Scuola Secondaria di Primo Grado ""Vico""";Scuola Secondaria di Primo Grado;ICS Via Val Lagarina;8;5;5;25;2013
Osma, Via;Vari;;8;5;1;5;30/07/2015
Procaccini, Via – cv 4 – Presso la Fabbrica del Vapore;Uffici e servizi pubblici - Comune di Milano;Fabbrica del Vapore;8;5;3;15;2013
Quarenghi, Via – cv 10;Scuola Primaria;IC Riccardo Massa - Montessori;8;5;2;10;30/07/2015
Quarenghi, Via – cv 10;Scuola Primaria;Scuola Montessori;8;5;2;10;13/04/2015
Quarenghi, Via – cv 21 ***** ASSESSORE;Uffici e servizi pubblici - Biblioteca;Biblioteca Gallaratese;8;5;2;10;19/11/2012
San Leonardo – Parcheggio ATM;Parcheggio ATM presso Metro;;8;5;2;10;07/11/2012
Santa Maria Nascente, Piazza;Scuola Primaria;Scuola M. L. King;8;5;3;15;10/04/2015
"Santa Maria Nascente, Piazza – cv – Scuola Primaria ""Martin Luther King""";Scuola Primaria;IC Cadorna;8;5;1;5;2013
Santa Maria Nascente, Piazza – Lato nord – Presso ingressi stazione;Stazione metropolitana;M1 QT8;8;5;3;15;01/02/2011
Satta, Via – cv 19;Scuola dell'infanzia;;8;5;1;5;19/07/2016
Scheibler, Parco di Villa;Parco;Villa Scheibler;8;5;1;5;2013
Sempione, Parco – Presso l'Arena Civica;Stadio;Arena Civica;8;5;3;15;2013
Senigallia, Via – cv 60 – Vari punti;Stazione metropolitana;M1 QT8;8;5;0;0;17/10/2016
Simoni Renato, Via – Presso ingresso ovest (10 posti) della stazione;Stazione ferroviaria;FNM Quarto Oggiaro;8;5;2;10;08/03/2013
Uruguay, Via – cv 26/3;Scuola Secondaria di Secondo Grado;CARLO PORTA;8;5;3;15;13/04/2015
Varesina, Via – Presso accesso sud ovest stazione;Stazione ferroviaria;FS Certosa;8;5;1;5;09/11/2012
Affori, Viale – cv 21 – Biblioteca – Ingresso su strada al Parco Villa Litta;Uffici e servizi pubblici - Biblioteca;Biblioteca Villa Litta;9;5;2;10;29/07/2015
Amoretti, Via – Presso ingresso est (20 posti) della stazione;Stazione ferroviaria;FNM Quarto Oggiaro;9;5;4;20;08/03/2013
"Asturie, Via – cv 1 – Scuola Secondaria di Primo Grado ""Giovanni Verga""";Scuola Secondaria di Primo Grado;"IC Pertini – Scuola ""Giovanni Verga""";9;5;1;5;2013
Aulenti, Piazza – Podio Garibaldi – Varie aree;Vari;;9;;?;?;2014
"Baldinucci , Via – cv 76 – Presso la biblioteca ""Dergano - Bovisa"" e l'anagrafe";Uffici e servizi pubblici - Biblioteca;Biblioteca Dergano - Bovisa;9;5;1;5;2013
Bernina, Via — cv 12 — NUOVA SEDE Uffici tecnici del Comune - Parcheggio interno per dipendenti;Uffici e servizi pubblici - Comune di Milano;;9;5;4;20;28/10/2015
Bignami, Via – cv 1;Ospedale;Istituti Clinici di Perfezionamento;9;5;1;5;16/08/2016
Bovisa – Presso ingresso sud della stazione;Stazione ferroviaria;FNM Bovisa;9;5;16;80;22/03/2013
"Cesari, Via – cv 38 – Scuola Primaria ""Duca degli Abruzzi""";Scuola Primaria;Duca degli Abruzzi;9;5;3;15;27/03/2015
"Cesari, Via – cv 38 – Scuola Primaria ""Duca degli Abruzzi""";Scuola Primaria;IC Locchi;9;5;1;5;2013
Comasina, Via – Angolo Via Teano;Stazione metropolitana;M3 Comasina;9;5;1;5;30/07/2012
Comasina, Via – Presso lato nord della stazione;Stazione ferroviaria e metropolitana;FNM Affori - M3;9;5;8;40;12/03/2013
Comasina, Via – Presso lato sud della stazione;Stazione ferroviaria e metropolitana;FNM Affori - M3;9;10;4;40;01/02/2011
Comasina, Via – Presso lato sud della stazione;Stazione ferroviaria e metropolitana;FNM Affori - M3;9;5;14;70;13/03/2013
Cozzi, Via – cv 53 – Presso palazzo U9 – CNR ***** ASSESSORE;Uffici;CNR Bicocca;9;5;4;20;29/07/2015
Ferrari Giuseppe, Via - Presso giardini sul lato sud, angolo Quadrio;Giardino pubblico;;9;5;2;10;01/06/2013
Gatti, Via – cv 14;Scuola Secondaria di Secondo Grado;GALVANI;9;5;3;15;25/03/2015
Goffredo da Bussero , Via – cv 9           Scuola G.B. Pirelli;Scuola Primaria;G. B. Pirelli;9;5;3;15;13/05/2015
"Grimm, Via fratelli – cv 11 – Scuola dell'Infanzia di ""Via Grimm""";Scuola dell'Infanzia;;9;5;1;5;2013
Guerzoni, Via – cv 38 – Presso il giardino del Consiglio di Zona;Uffici e servizi pubblici - CdZ 9 - Giardino;;9;5;1;5;2013
"Guicciardi, Via – cv 1 – Scuola Primaria ""Marie Curie""";Scuola Primaria;Scuola Marie Curie;9;5;1;5;02/04/2015
"Guicciardi, Via – cv 1 – Scuola Primaria ""Marie Curie""";Scuola Primaria;IC Maffucci;9;5;1;5;2013
Guicciardi, Via – cv 3/A – Nido d'Infanzia di Via Guicciardi;Nido d'Infanzia;;9;5;1;5;2013
Imbonati, Via – cv 86 – Presso stazione M3 Dergano;Stazione metropolitana;M3 Dergano;9;11;2;22;2012
Innovazione, Viale della – cv 7 – Presso uffici ESATRI ***** ASSESSORE;Uffici;ESATRI - Bicocca;9;5;4;20;12/05/2015
Istria, Piazzale – Scuola secondaria Tommaseo – Uscite MM;Stazione metropolitana;M5 Istria;9;5;3;15;29/07/2015
Maffucci, Via – civ 60;Scuola Secondaria di Primo Grado;Scuola Secondaria Maffucci;9;5;1;5;29/10/2015
Mann, Via – civ. 9;Scuola dell'infanzia;;9;5;1;5;28/10/2015
Ornato, Via – Presso capolinea linee 4 e 5 – Area nord;Fermata tranviaria;ATM – Linee 4 e 5 – Capolinea;9;6;6;36;01/04/2012
Ornato, Via – Presso capolinea linee 4 e 5 – Area sud;Fermata tranviaria;ATM – Linee 4 e 5 – Capolinea;9;6;4;24;01/04/2012
Passerini, Via – cv 4;Scuola Secondaria di Primo Grado;Scuola Secondaria Cassinis;9;5;3;15;26/03/2015
Passerini, Via – cv 5  – Presso uffici Anagrafe e Biblioteca - Ang. Calboli;Uffici e servizi pubblici - Biblioteca - Anagrafe;Biblioteca Niguarda;9;5;2;10;13/05/2015
Passerini, Via – cv 5 – Presso l'anagrafe e il Comando di Polizia Locale di zona 9;Uffici e servizi pubblici - Anagrafe - Comando PL zona 9;;9;5;1;5;2013
Paulucci di Calboli Fulcieri, Via – cv 1;Scuola Secondaria di Primo Grado;Scuola Secondaria Cassinis;9;5;1;5;26/03/2015
Pepe  civ. N° 30 – Presso gli ingressi pedonali;Stazione ferroviaria e metropolitana;FS Porta Garibaldi - M2-M5 Garibaldi;9;5;1;5;18/10/2012
Pepe, Via – cv 12 – Presso gli ingressi pedonali;Stazione ferroviaria e metropolitana;FS Porta Garibaldi - M2-M5 Garibaldi;9;5;3;15;13/02/2016
Pepe, Via – cv 18 – Presso gli ingressi pedonali;Stazione ferroviaria e metropolitana;FS Porta Garibaldi - M2-M5 Garibaldi;9;5;2;10;13/02/2016
Pepe, Via – cv 20 – Presso gli ingressi pedonali;Stazione ferroviaria e metropolitana;FS Porta Garibaldi - M2-M5 Garibaldi;9;5;2;10;13/02/2016
"Pianell, Via – cv 40 – Scuola Primaria ""Carlo Poerio""";Scuola Primaria;;9;5;1;5;2013
Pirelli, Via – Fronte Palazzo Pirelli ***** ASSESSORE          ;Stazione metropolitana;M2 Gioia;9;5;1;5;25/10/2012
Principessa Clotilde, Piazzale;Esercizio commerciale;Bio c' Bon;9;5;1;5;2013
Rossi, Via – cv 75 – Presso stazione M3 Affori Centro;Stazione metropolitana;M3 Affori Centro;9;6;3;18;2013
Sant'Arnaldo, Via – cv 17 – Presso la Biblioteca Cassina Anna;Uffici e servizi pubblici - Biblioteca;Biblioteca Cassina Anna;9;5;1;5;2013
"Sarca , Viale – cv 24 – Scuola Secondaria di Primo Grado ""Falcone e Borsellino""";Scuola Secondaria di Primo Grado;IC Arbe Zara;9;5;1;5;2013
Scialoia, Via – cv 15/19/21;Scuola Secondaria di Primo Grado;Scuola Secondaria Buonarroti;9;5;3;15;02/04/2015
Sturzo, Viale – Presso ingresso Building B;Uffici;;9;6;1;6;01/02/2013
Sturzo, Viale – Presso lato sud della stazione, a quota marciapiede;Stazione ferroviaria e metropolitana;FS Porta Garibaldi - M2-M5 Garibaldi;9;5;17;85;15/12/2013
Sturzo, Viale – Presso lato sud ingresso della stazione;Stazione ferroviaria e metropolitana;FS Porta Garibaldi - M2-M5 Garibaldi;9;5;7;35;26/07/2012
Sud, Via del – Presso ingresso est del Building C;Uffici;;9;6;1;6;01/02/2013
Sud, Via del – Presso ingresso est del Building E-1;Uffici;;9;6;1;6;01/02/2013
Sud, Via del – Presso ingresso ovest del Building C;Uffici;;9;6;1;6;01/02/2013
Sud, Via del – Presso ingresso ovest del Building E-1;Uffici;;9;6;1;6;01/02/2013
Testi Fulvio, Viale              MM Lilla - Bicocca;Stazione metropolitana;M5 Bicocca;9;5;2;10;13/05/2015
Testi Fulvio, Viale              MM Lilla - Bignami;Stazione metropolitana;M5 Bignami;9;5;2;10;13/05/2015
Volturno, Via – Presso ingressi della stazione M5 Isola e altri;Vari;;9;5;17;85;01/10/2012
